filepath,filename,timestamp
E:\arlo\000000\A7W5417DD0928_0000000a_20260328_150000.mp4,A7W5417DD0928_0000000a_20260328_150000.mp4,2026-03-28 15:00:00
E:\arlo\000000\A7W5417DD0928_0000000b_20260328_150226.mp4,A7W5417DD0928_0000000b_20260328_150226.mp4,2026-03-28 15:02:26
E:\arlo\000000\A7W5417DD0928_0000000c_20260328_150334.mp4,A7W5417DD0928_0000000c_20260328_150334.mp4,2026-03-28 15:03:34
E:\arlo\000000\A7W5417DD0928_0000000d_20260328_150537.mp4,A7W5417DD0928_0000000d_20260328_150537.mp4,2026-03-28 15:05:37
E:\arlo\000000\A7W5417DD0928_0000000e_20260328_150632.mp4,A7W5417DD0928_0000000e_20260328_150632.mp4,2026-03-28 15:06:32
E:\arlo\000000\A7W5417DD0928_0000000f_20260328_150836.mp4,A7W5417DD0928_0000000f_20260328_150836.mp4,2026-03-28 15:08:36
E:\arlo\000000\A7W5417DD0928_00000010_20260328_151125.mp4,A7W5417DD0928_00000010_20260328_151125.mp4,2026-03-28 15:11:25
E:\arlo\000000\A7W5417DD0928_00000011_20260328_151328.mp4,A7W5417DD0928_00000011_20260328_151328.mp4,2026-03-28 15:13:28
E:\arlo\000000\A7W5417DD0928_00000012_20260328_152451.mp4,A7W5417DD0928_00000012_20260328_152451.mp4,2026-03-28 15:24:51
E:\arlo\000000\A7W5417DD0928_00000013_20260328_152654.mp4,A7W5417DD0928_00000013_20260328_152654.mp4,2026-03-28 15:26:54
